94,"eCash","$494,051,517","$0.00","19,401,323,423,303","$2,097,902","0.12 %",2023-05-30 11:03:51.017062
95,"Dash","$492,735,822","$43.70","11,301,399","$53,642,966","0.87 %",2023-05-30 11:03:51.017062
96,"cETH","$488,787,547","$38.31","12,758,964","$6,174","0.50 %",2023-05-30 11:03:51.017062
97,"Tether Gold","$478,764,794","$1,945.77","246,524","$4,931,288","0.15 %",2023-05-30 11:03:51.017062
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2023-05-30 11:03:51.017062
100,"XDC Network","$431,480,035","$0.03","13,839,323,326","$2,260,623","0.15 %",2023-05-30 11:03:51.017062
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2023-05-30 11:03:51.017062
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2023-05-30 11:03:51.017062
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2023-05-30 11:03:51.017062
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2023-05-30 11:03:51.017062
